backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
1,1251506580,25,1,21,1,0,0,21,11,13,0.000003947,0.325842697,0.156626506,0.590673575,0.000049993,0.000000174,0.000003947
43,892855184,2265,1,356,26,1,1,21,4,13,0.000357634,0.280898876,0.698795181,0.67357513,0.000001993,0.000394762,0.000357634
426,1989749852,142674,1,29,11,1,1,21,2,13,0.022527607,0.370786517,0.409638554,0.611398964,0.000899993,0.000055259,0.02252761
0,716862115,0,0.15914444,49,18,0,0,6,1,3,0,0.651685393,0.036144578,0.336787565,0.000039779,0,0
133,1569348999,6445,1.08422357,361,13,0,1,8,12,4,0.001103347,0.662921348,0.060240964,0.647668394,0.000058541,0.000041603,0.001135744
0,1492674210,0,1,29,11,0,0,21,4,13,0,0.325842697,0.674698795,0.647668394,0.000019993,0,0
1,1171770413,1,1,24,1,0,0,21,10,13,0.000000158,0.662921348,0.156626506,0.689119171,0.000099993,0.000000003,0.000000158
112,1996395185,22412,1.08601452,263,9,1,1,5,12,4,0.003843142,0.438202247,0.674698795,0.678756477,0.000238916,0.00003551,0.003862129
271,2035750575,6740,1,49,18,0,1,21,4,13,0.001064217,0.325842697,0.204819277,0.559585492,0.000049993,0.000046988,0.001064217
70,85915361,5177,1,303,11,1,1,21,5,13,0.000817426,0.325842697,0.240963855,0.378238342,0.000024993,0.000072183,0.000817426
334,1238109521,10195,1,347,26,0,1,21,1,13,0.001609746,0.235955056,0.361445783,0.632124352,0.000029993,0.000118458,0.001609747
2,1409818833,6,1,361,13,0,0,21,2,13,0.000000947,0.325842697,0.204819277,0.678756477,0.000004993,0.000000418,0.000000947
28,1941061280,1122.23,1.64126266,24,1,0,0,9,2,5,0.000290824,0.539325843,0.373493976,0.678756477,0.000049231,0.000013039,0.000295107
4,303173910,25,1.00765414,51,16,0,0,4,8,2,0.000003978,0.325842697,0.168674699,0.155440415,0.000085643,0.000000103,0.000003947
6,512116117,180,1,24,1,0,0,21,1,13,0.000028421,0.303370787,0.277108434,0.642487047,0.000049993,0.000001255,0.000028421
2,1344594564,2,1,29,11,0,0,21,6,13,0.000000316,0.438202247,0.554216867,0.554404145,0.000149993,0.000000005,0.000000316
27,1742176567,3072,1,24,1,0,1,21,3,13,0.000485056,0.382022472,0.445783133,0.689119171,0.000029993,0.000035694,0.000485056
11,1877979570,141,1,21,1,0,0,21,8,13,0.000022263,0.325842697,0.240963855,0.170984456,0.000003493,0.000014043,0.000022263
1,452183910,100,1,328,18,0,0,21,1,13,0.00001579,0.494382022,0.301204819,0.689119171,0.000019993,0.000001743,0.00001579
26,1296158258,321,1.39476822,295,11,0,1,9,4,5,0.000070693,0.292134831,0.373493976,0.642487047,0.000004177,0.000037298,0.000067895
146,1777546716,5543.86,1,21,1,1,1,21,8,13,0.000875352,0.325842697,0.698795181,0.678756477,0.000031993,0.000060389,0.000875216
21,1583525762,2365,1,258,7,0,0,21,7,13,0.000373423,0.325842697,0.13253012,0.668393782,0.000209993,0.000003926,0.000373423
21,1489393006,4135,1,29,11,0,0,21,9,13,0.000652899,0.337078652,0.590361446,0.658031088,0.001999993,0.000000721,0.000652899
1646,786010474,224546,1,29,11,0,1,21,3,13,0.035454842,0.325842697,0.481927711,0.357512953,0.001549993,0.000050498,0.035454846
43,1875444999,1420,1,23,1,0,1,21,10,13,0.000224212,0.303370787,0.457831325,0.694300518,0.000011993,0.000041248,0.000224212
0,1873019971,0,1,24,1,0,0,21,7,13,0,0.325842697,0.180722892,0.492227979,0.000999993,0,0
0,88844028,0,1.11988353,361,13,0,0,5,8,4,0,0.325842697,0.084337349,0.621761658,0.000335958,0,0
14,1428837340,4000,1,24,1,0,1,21,2,13,0.000631583,0.292134831,0.34939759,0.611398964,0.000039993,0.000034858,0.000631583
1,1495702009,10,1,356,26,0,0,21,3,13,0.000001579,0.651685393,0.228915663,0.601036269,0.000009993,0.000000349,0.000001579
3,175285575,120,1,356,26,0,0,21,7,13,0.000018947,0.494382022,0.361445783,0.668393782,0.000199993,0.000000209,0.000018947
5,432951086,380,1,345,26,0,0,21,2,13,0.00006,0.314606742,0.662650602,0.683937824,0.000005993,0.000022076,0.00006
164,1034200812,150618.8,0.0527724,30,11,0,1,15,10,8,0.001255036,0.325842697,0.192771084,0.694300518,0.000079151,0.000035001,0.001178218
60,149737935,80642,0.05226276,32,11,0,1,15,9,8,0.000665463,0.550561798,0.084337349,0.378238342,0.000041803,0.000035137,0.000660478
5,1525740976,179,0.72603767,345,26,0,0,20,10,12,0.00002052,0.224719101,0.554216867,0.601036269,0.000023226,0.00000195,0.000020369
0,976879205,0,1,24,1,0,0,21,6,13,0,0.224719101,0.506024096,0.689119171,0.000039993,0,0
3,1216394299,201,0.84243656,319,14,0,0,18,8,10,0.000026736,0.449438202,0.626506024,0.554404145,0.000106822,0.000000553,0.000025579
