featured_project,project_video,state,category,status_labels,funding_currency.1,avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,description_length,full_desc_len,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,project_img,duration
0,1,49,133,0,6,0.002873563,0.000403985,0.917910448,0.052530889,0.0024999,2.99E-06,1.72E-05,4.50E-05,6.60E-05,0,0,0.000692281,0.030769231,0,0.007692308,0.491525424
0,1,13,106,0,0,0.001853448,0.000594346,0.947761194,0.09645277,0.0006999,4.68E-05,7.60E-05,0.00015751,0,0,0,0.001557632,0.107692308,0.012345679,0,0.491525424
0,1,85,18,1,0,0.018433908,0.001474181,0.634328358,0.198963731,0.0011999,0.00042258,0.001176014,0.001046319,0,0,0,0.013326411,0.092307692,0.074074074,0.038461538,0.491525424
0,1,120,42,1,0,0.028735632,0.002456829,0.992537313,0.27162216,0.0049999,0.00040584,0.004705899,0.002531418,6.60E-05,0,0.037037037,0.031152648,0.138461538,0.111111111,0.046153846,0.491525424
0,1,125,60,0,4,0.000158046,0.001043714,0.962686567,0.167915504,0.0004999,2.30E-05,2.65E-05,2.25E-05,0,0.19047619,0,0.00017307,0.138461538,0.012345679,0,0.491525424
0,1,120,59,0,0,0,5.19E-06,0.552238806,0.019330411,0.0005999,7.60E-08,0,0,0,0,0,0,0.015384615,0,0.030769231,0.491525424
0,1,78,92,0,0,0.000545977,0.000218089,0.97761194,0.187724193,0.0004999,6.51E-06,7.47E-06,3.38E-05,0,0,0,0.000519211,0.123076923,0.012345679,0,0.491525424
0,1,87,6,1,6,0.003649425,0.000805373,0.380597015,0.07779992,0.0002898,0.000387472,0.000260429,0.000416278,0.000198124,0,0,0.005711319,0.2,0.086419753,0.153846154,0.491525424
0,3,13,125,1,0,0.01795977,0.001530053,0.597014925,0.110960542,0.0023999,0.000424549,0.002363094,0.002036385,0,0,0,0.02596054,0.184615385,0.074074074,0.161538462,0.542372881
0,1,132,52,0,0,0.004310345,0.000658838,0.917910448,0.147429255,0.0009999,4.36E-05,0.000101009,0.000191263,0,0,0,0.002596054,0.076923077,0.012345679,0.053846154,0.694915254
1,1,120,87,1,0,0.004310345,0.00070204,0.992537313,0.045954564,0.0001399,0.000386828,0.000125515,0.000225015,0,0,0,0.003115265,0.092307692,0.061728395,0.007692308,0.491525424
0,1,126,40,0,0,0.000962644,0.000725199,0.962686567,0.07712236,0.0001999,4.00E-05,1.84E-05,2.25E-05,0,0.047619048,0,0.000346141,0.046153846,0,0.023076923,0.830508475
0,1,18,29,0,0,0.001551724,0.001525588,0.992537313,0.062295735,0.0024999,3.35E-05,0.000194114,0.00015751,0,0,0,0.002249913,0.184615385,0,0.023076923,0.745762712
0,0,0,10,1,0,0.01125,0.000746593,0.768656716,0.164208848,9.99E-05,0.007566894,0.001754842,0.003093955,0.00042927,0,0.037037037,0.047421253,0.538461538,0.135802469,0.153846154,0.474576271
0,0,128,10,1,0,0.003591954,0.000268146,0.410447761,0.033120765,4.99E-05,0.000378723,4.38E-05,0.000202513,0,0,0,0.002596054,0.092307692,0.012345679,0.030769231,0.322033898
0,1,125,36,0,4,0.000359195,0.000311556,0.932835821,0.132762057,5.99E-05,3.85E-05,5.27E-06,1.13E-05,0,0,0,0.00017307,0.061538462,0,0.092307692,0.491525424
0,0,44,132,1,0,0.022413793,0.000319034,0.328358209,0.279792746,9.99E-05,0.000933932,0.000216512,0.000877558,0.000330207,0,0,0.013499481,0.076923077,0.061728395,0.046153846,0.118644068
0,0,13,10,1,0,0.026767241,0.000591957,0.828358209,0.363212435,2.99E-05,0.025769591,0.001792874,0.003982764,0.000198124,0,0.037037037,0.061266874,0.292307692,0.222222222,0.276923077,0.491525424
0,1,40,133,0,1,0.000574713,0.009782142,0.537313433,0.079194898,0.09999991,2.50E-06,0.000579355,6.75E-05,0,0,0,0.000346141,0.076923077,0,0.115384615,1
1,0,85,92,1,0,0.013649425,0.000309168,0.932835821,0.055559984,4.99E-05,0.00050446,5.84E-05,0.000236266,0,0,0,0.003288335,0.030769231,0.012345679,0.007692308,0.220338983
0,1,90,10,1,0,0.004554598,0.000683451,0.425373134,0.339218812,9.99E-05,0.000728285,0.000168818,0.000315021,0,0,0,0.003288335,0.092307692,0.037037037,0.069230769,0.491525424
0,1,65,87,0,0,0.002183908,0.000484055,0.955223881,0.245037864,0.0004443,0.000140544,0.000144751,0.000382525,3.30E-05,0,0,0.005538249,0.323076923,0,0,0.491525424
0,0,13,121,1,0,0.006566092,0.000343958,0.962686567,0.02654444,9.99E-05,0.000432881,0.000100307,0.000371275,0,0,0,0.005538249,0.107692308,0.024691358,0.007692308,0.661016949
0,1,13,18,0,0,0.017241379,0.000559763,0.514925373,0.028696692,0.0006999,0.000155996,0.000253138,0.000585039,0,0.047619048,0,0.008307373,0.061538462,0.024691358,0.092307692,0.491525424
0,0,13,36,0,0,0.00191092,9.24E-05,0.425373134,0.012076525,4.99E-05,3.56E-05,4.04E-06,4.50E-05,0,0,0,0.000692281,0.046153846,0.012345679,0.007692308,0.491525424
0,0,65,116,0,0,0,5.19E-06,0.962686567,0.055480271,7.49E-05,4.92E-07,0,0,0,0,0,0,0.015384615,0,0.007692308,0.491525424
0,0,13,67,1,0,0.015086207,0.000786472,0.320895522,0.036907134,0.0004999,0.000502339,0.000582429,0.000967564,0.000165104,0,0.055555556,0.014537902,0.123076923,0.074074074,0.1,0.491525424
0,1,85,72,1,0,0.024425287,0.000793638,0.597014925,0.09302511,0.0019999,0.000404931,0.001878073,0.003116456,3.30E-05,0,0,0.044132918,0.230769231,0.209876543,0.053846154,0.610169492
0,1,14,28,1,0,0.007097701,0.000775879,0.925373134,0.105221204,0.0006499,0.000425041,0.000640663,0.001080072,0,0,0,0.015403254,0.276923077,0.024691358,0.069230769,0.491525424
0,1,13,10,1,0,0.010574713,0.000745035,0.970149254,0.330848944,0.0007999,0.000396713,0.000735964,0.001293836,9.91E-05,0,0,0.014018692,0.169230769,0.049382716,0.046153846,0.491525424
1,0,134,69,1,0,0.00625,0.000830609,0.992537313,0.106775608,0.0001999,0.001142987,0.00053008,0.000832555,3.30E-05,0,0.037037037,0.0128072,0.261538462,0.061728395,0.1,1
1,4,13,95,1,0,0.046192529,0.000572225,0.985074627,0.264129135,0.0024999,0.000397584,0.002305124,0.005299101,0.000792498,0,0,0.072343371,0.2,0.037037037,0.423076923,0.491525424
0,1,52,64,0,5,0.000359195,0.014565259,0.52238806,0.121721802,0.089999909,1.78E-06,0.000369607,2.25E-05,0,0,0,0.00017307,0.061538462,0,0.007692308,0.491525424
0,0,87,10,1,6,0.004310345,0.000154013,0.97761194,0.024432045,2.49E-05,0.000487796,2.82E-05,0.000225015,0,0,0,0.003115265,0.092307692,0.012345679,0.046153846,0.491525424
0,1,126,28,1,0,0.01408046,0.00071606,0.731343284,0.284974093,0.0008499,0.000470337,0.000927091,0.001698863,0,0,0,0.025441329,0.230769231,0.061728395,0.107692308,0.491525424
0,1,14,110,1,0,0.078663793,0.001848568,0.246268657,0.146632124,0.0007499,0.00201905,0.003511879,0.002508916,0.000957601,0,0,0.037902388,0.061538462,0.012345679,0.1,0.491525424
0,1,13,110,0,0,0.002873563,8.13E-05,0.417910448,0.069031487,0.0019999,4.54E-07,2.11E-06,2.25E-05,0,0,0,0.000346141,0.015384615,0,0,1
0,0,119,8,0,0,0,2.60E-05,0.917910448,0.052371463,0.007499901,3.80E-08,4.39E-07,1.13E-05,0,0,0,0,0.061538462,0.012345679,0.007692308,0.542372881
0,0,75,152,0,2,0,0.00268977,0.985074627,0.001195695,0.034999903,5.68E-07,4.55E-05,1.13E-05,0,0,0,0,0.030769231,0,0.007692308,1
1,0,125,83,1,4,0.010704023,0.000334092,0.992537313,0.072777999,9.99E-05,0.001027098,0.000238119,0.000922561,0,0,0,0.014191762,0.169230769,0.049382716,0.053846154,0.355932203
0,0,3,30,0,0,0.001594828,0.001224001,0.985074627,0.161976883,0.0016999,3.69E-05,0.000145454,0.00014626,3.30E-05,0,0,0.001730703,0.138461538,0,0.007692308,0.542372881
0,4,132,110,1,0,0.129727011,0.000560594,0.932835821,0.140414508,0.0049999,0.000734989,0.008522826,0.020026327,0.008453309,0,0.203703704,0.109380408,0.107692308,0.12345679,0.684615385,0.762711864
0,1,13,149,0,0,0.000316092,0.000244052,0.641791045,0.050617776,0.0009999,2.73E-06,6.24E-06,2.25E-05,0,0.142857143,0,0.000346141,0.138461538,0,0,0.491525424
0,0,4,18,0,0,0.001235632,0.000285593,0.888059701,0.086050219,0.0002199,3.37E-05,1.71E-05,6.75E-05,0,0,0,0.001038422,0.107692308,0,0.007692308,0.745762712
0,0,125,132,1,4,0.029928161,0.000310414,0.455223881,0.081825428,4.99E-05,0.002923745,0.000338953,0.001417594,0.000594373,0,0,0.021633783,0.092307692,0.049382716,0.076923077,0.322033898
0,1,14,132,0,0,0.008002874,0.000416759,0.611940299,0.076046234,0.0007999,8.27E-05,0.000153359,0.000472531,6.60E-05,0,0.055555556,0.00674974,0.107692308,0.037037037,0.038461538,0.491525424
0,1,35,132,1,6,0.011364943,0.001135311,0.985074627,0.236389,4.99E-05,0.007486604,0.000868066,0.001001316,0.000495311,0,0,0.015057113,0.169230769,0.049382716,0.3,0.169491525
0,0,125,132,1,4,0.013218391,0.000161594,0.679104478,0.093583101,1.49E-05,0.00202742,7.04E-05,0.000551287,0.000132083,0,0,0.007961232,0.076923077,0.024691358,0.046153846,0.152542373
0,0,13,2,1,0,0.005747126,0.000212897,0.470149254,0.024910323,1.24E-05,0.000381753,1.10E-05,5.63E-05,0,0,0,0.000692281,0.015384615,0.024691358,0.015384615,0.491525424
0,1,125,135,1,4,0.016767241,0.00032703,0.664179104,0.0663611,0.0002999,0.000415952,0.000289326,0.001147576,6.60E-05,0,0,0.012114919,0.092307692,0,0.007692308,0.508474576
0,0,13,1,0,0,0,5.19E-06,0.253731343,0.033399761,4.99E-05,7.57E-07,0,0,0,0.047619048,0,0,0.030769231,0,0.007692308,1
0,0,3,24,0,0,0.001436782,0.000380306,0.768656716,0.023993623,0.0001999,5.62E-05,2.60E-05,7.88E-05,0,0,0,0.001211492,0.107692308,0,0.007692308,1
