State,Currency,Top_Category,Category,Creator,Location,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration_in_Days,Facebook_Connected,Facebook_Friends,Facebook_Shares,Has_Video,Creator_Projects_Created,Creator_Projects_Backed,#_Videos,#_Images,#_Words_(Description),#_Words_(RisksandChallenges),#_FAQs
0,5,7,39,Indulgence Spirits,New York,1,0,9,45000,14150,34,29-04-14,30-05-14,31,0,0,403,1,1,7,0,9,720,109,0
1,5,4,104,Marge,San Francisco,4,158,9,3000,9852,254,29-04-14,09-06-14,41,0,0,13,1,1,2,0,11,512,50,0
0,5,12,51,Bob Rogers,Charlotte,2,2,10,4776,566,12,29-04-14,31-05-14,31,1,486,107,1,1,3,0,1,598,216,0
1,5,7,113,Scott Bowman,Toledo,4,23,16,20000,20676,286,29-04-14,24-05-14,25,1,219,2392,1,1,4,0,6,677,204,0
1,5,8,126,Impact! Miniatures,Indianapolis,34,653,18,25500,46000,277,29-04-14,13-06-14,44,1,3122,258,1,17,89,0,68,3093,165,1
0,5,4,104,Tom and Lisa  Honkanen,Maribel,3,0,6,25000,391,6,29-04-14,29-05-14,30,1,201,56,1,1,5.172066391,1,6,854,203,1
0,5,10,142,JRS,Durham,4,0,14,10000,3346,45,29-04-14,26-05-14,26,1,648,319,1,3,7,0,0,1257,70,0
0,5,10,115,FERRIS,Indianapolis,0,0,4,3150,180,5,29-04-14,13-06-14,45,1,1953,89,1,2,5.172066391,0,0,80,53,1
0,4,6,140,Lewis Roscoe,Auckland,1,0,10,5500,356,11,29-04-14,29-05-14,30,1,1044,116,1,2,0,3,14,1310,108,0
1,5,10,83,Brian Morell,Queens,6,0,7,250,816,54,29-04-14,29-05-14,30,0,0,29,1,1,5,0,2,454,67,0
0,5,13,8,Mr. Magi Systems,Los Angeles,0,1,21,100000,188,8,29-04-14,29-05-14,30,0,0,19,1,1,5.172066391,0,18,914,114,0
1,5,13,54,Flite Test,Malvern,3,164,12,5000,37207,540,29-04-14,29-05-14,30,0,0,1207,1,1,5.172066391,0,15,1315,179,21
1,5,6,120,Michael Fodera,New York,4,0,13,10000,10815,75,29-04-14,18-06-14,50,0,0,243,1,1,5,0,0,326,141,0
0,5,0,10,Philip & McKenna,Orem,0,0,11,6000,331,17,29-04-14,29-05-14,30,1,807,67,1,1,5.172066391,0,6,625,72,0
1,5,6,120,Jonathan Wysocki,Los Angeles,3,0,15,5000,7076,102,29-04-14,13-05-14,14,1,657,431,1,1,6,0,1,476,162,0
1,5,8,126,Crash Games,Tucson,10,732,14,18000,39992,1997,29-04-14,28-05-14,28,0,0,522,1,9,115,4,38,1708,190,0
0,5,7,56,Christina mason,Buxton,0,0,8,6000,96,5,29-04-14,13-06-14,45,1,133,73,0,1,5.172066391,0,0,91,173,0
0,5,13,127,Constancia Wendt and Claudio Garaycochea,South Bend,0,1,8,7000,161,4,29-04-14,18-06-14,50,0,0,14,1,1,1,0,4,211,80,0
1,5,8,126,Stewart Wieck,Houston,11,53,12,500,6487,121,29-04-14,29-05-14,30,1,257,227,1,2,45,0,21,2370,431,0
0,1,10,30,Sule Heitner,Montreal,1,1,5,3000,860,11,29-04-14,29-05-14,30,1,4541,132,1,1,5.172066391,0,0,232,78,0
